date,volume,open,high,low,close
2023-05-19,970000,19.9,19.9,19.45,19.5
2023-05-22,371000,19.5,19.7,19.4,19.65
2023-05-23,407000,19.7,19.85,19.6,19.8
2023-05-24,580000,19.85,19.85,19.6,19.75
2023-05-25,456000,19.75,19.75,19.5,19.5
2023-05-26,640000,19.5,19.5,19.2,19.25
2023-05-29,254000,19.35,19.4,19.25,19.25
2023-05-30,429000,19.4,19.4,19.1,19.15
2023-05-31,230000,19.15,19.35,19.05,19.25
2023-06-01,343000,19.3,19.4,19.15,19.3
2023-06-02,399000,19.4,19.55,19.35,19.5
2023-06-05,732000,19.6,20.0,19.6,19.95
2023-06-06,717000,20.0,20.05,19.9,19.95
